,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,precision,recall,SRP@0,SRP@1,SRP@2,SRP@3,SRP@4,SRP@5,SRP@6,SRP@7,SRP@8,SRP@9,SRP@10,SRR@0,SRR@1,SRR@2,SRR@3,SRR@4,SRR@5,SRR@6,SRR@7,SRR@8,SRR@9,SRR@10,accuracy,precision,recall,f1_score,roc_auc,fbeta_score
0,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13788,0.4400111521619481,0.06803919174460378,0.47446913580246913,0.30098765432098745,0.40805443735054286,1.5,0.5,10,1.0,0.7666666666666667,0.30954545454545457,1.0,1.0,1.0,1.0,1.0,0.9,0.7,0.5,0.5,0.5,0.5,1.0,0.9,0.8,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.7984126984126985,0.515625,0.2558139534883721,0.3419689119170985,0.596968852991691,0.48655680832610576
1,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13789,0.42722743043153144,0.0657867286899059,0.48063057270233195,0.39804783950617284,0.4314879923056511,1.8888888888888888,0.5555555555555556,9,1.0,0.6663580246913581,0.281986531986532,1.0,1.0,1.0,1.0,0.8888888888888888,0.7777777777777778,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.7365079365079366,0.3010752688172043,0.21705426356589147,0.2522522522522523,0.5436568723019078,0.29437229437229434
2,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13790,0.4005639096939043,0.09583008318855953,0.514474279835391,0.4272572016460906,0.4859377548690327,1.8,0.6,10,1.0,0.7233333333333334,0.34977272727272724,1.0,1.0,1.0,1.0,0.9,0.8,0.5,0.5,0.5,0.5,0.5,1.0,0.9,0.7,0.5,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.746031746031746,0.3037974683544304,0.18604651162790697,0.23076923076923078,0.5381330362530752,0.2928930366116296
3,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13791,0.44974518789633955,0.07004247784589272,0.4239455782312925,0.28303287981859426,0.45430035945218994,2.3333333333333335,0.4444444444444444,9,1.0,0.7365079365079364,0.32780583613916947,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.3333333333333333,0.3333333333333333,1.0,1.0,0.7777777777777778,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.7777777777777778,0.4246575342465753,0.24031007751937986,0.3069306930693069,0.5782388710950193,0.4063222821896685
4,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13792,0.45039692485442123,0.05651901523538036,0.6036781961024384,0.41275890215284144,0.2830044486247322,0.9090909090909091,0.8181818181818181,11,1.0,0.8053259871441689,0.5012626262626263,1.0,1.0,1.0,1.0,1.0,1.0,0.8181818181818182,0.5454545454545454,0.5454545454545454,0.45454545454545453,0.45454545454545453,1.0,1.0,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.2727272727272727,0.8206349206349206,0.58,0.4496124031007752,0.5065502183406113,0.6828900338857169,0.5702718334297282
5,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13793,0.4536280072343616,0.06218092235819485,0.5723160745779793,0.5712773998488283,0.4935493106549767,2.5555555555555554,0.6666666666666667,9,1.0,0.7021164021164021,0.3403759820426487,1.0,1.0,1.0,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.8888888888888888,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.6777777777777778,0.2357142857142857,0.2558139534883721,0.24535315985130113,0.5211205495984775,0.2368087800759814
6,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13794,0.4156294894202796,0.06792997553809849,0.4466846418468896,0.21476749517905042,0.4546227013407093,3.1666666666666665,0.5,6,1.0,0.6240601503759399,0.2689393939393939,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.8333333333333334,0.5,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.5920634920634921,0.19230769230769232,0.31007751937984496,0.23738872403560832,0.48737408903123985,0.1967023430720278
7,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13795,0.43078759244834636,0.0659804639909835,0.5285090575173221,0.42081058519075043,0.5300628962205508,2.0,0.7272727272727273,11,1.0,0.7057851239669423,0.2307162534435262,1.0,1.0,1.0,1.0,0.8181818181818182,0.7272727272727273,0.5454545454545454,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,1.0,0.9090909090909091,0.45454545454545453,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.7111111111111111,0.19540229885057472,0.13178294573643412,0.15740740740740744,0.4960311934270993,0.19000657462195927
8,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13796,0.43745872988598594,0.06868096504451457,0.42524999999999996,0.38959104938271605,0.5167534571598893,2.1,0.7,10,1.0,0.7141666666666666,0.35323232323232323,1.0,1.0,1.0,1.0,0.7,0.7,0.6,0.5,0.5,0.5,0.5,1.0,0.9,0.6,0.4,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.7317460317460317,0.23684210526315788,0.13953488372093023,0.17560975609756097,0.511883210323539,0.22750929368029738
9,CombSequentialDQN36351550/CombSequentialDQN36351550_12_13797,0.5197164511922845,0.19000032233324654,0.4205617528076319,0.3044440964255525,0.4851160617430467,2.375,0.75,8,1.0,0.6232829670329669,0.37654671717171717,1.0,1.0,1.0,0.875,0.75,0.625,0.375,0.375,0.375,0.375,0.375,1.0,0.75,0.625,0.625,0.5,0.25,0.125,0.125,0.125,0.125,0.125,0.6968253968253968,0.23728813559322035,0.21705426356589147,0.22672064777327938,0.5187067725015087,0.23599405057015369
