,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,precision,recall,SRP@0,SRP@1,SRP@2,SRP@3,SRP@4,SRP@5,SRP@6,SRP@7,SRP@8,SRP@9,SRP@10,SRR@0,SRR@1,SRR@2,SRR@3,SRR@4,SRR@5,SRR@6,SRR@7,SRR@8,SRR@9,SRR@10,accuracy,precision,recall,f1_score,roc_auc,fbeta_score
0,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1229,0.32992587154211034,0.04980747310284202,0.15441725241542908,0.14240290922697918,0.5169746360431897,25.818181818181817,1.0,11,1.0,0.49244261979089626,0.167645485827304,1.0,1.0,1.0,0.8181818181818182,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.0,0.7272727272727273,0.5454545454545454,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7475035460992908,0.24706398858522666,0.17063371740448757,0.20185625252208225,0.5254648310621238,0.24072140304967038
1,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1230,0.310198869954819,0.04515137700679581,0.1580484828181966,0.057867916357644836,0.5318679281030833,25.454545454545453,0.9090909090909091,11,1.0,0.5256663416033208,0.204097284958529,1.0,1.0,1.0,0.9090909090909091,0.7272727272727273,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,1.0,0.7272727272727273,0.45454545454545453,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.7360425531914894,0.23328409650418513,0.1795785324439054,0.2029382790080096,0.5218580873289534,0.22925110433079832
2,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1231,0.3293203497394305,0.04797005354511042,0.25574245173054405,0.19223585944796026,0.49208335333620207,22.833333333333332,0.9166666666666666,12,1.0,0.506235305279423,0.12736208236208238,1.0,1.0,1.0,0.9166666666666666,0.5,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.5,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7310496453900709,0.2292820272172689,0.18518799272286235,0.20488950392082864,0.5209460589006927,0.22611503114247136
3,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1232,0.30973663929843354,0.0458460720113346,0.1494778724536679,0.03328719379486488,0.4924237095171093,28.5,0.8,10,1.0,0.4906978612980513,0.16461383061383064,1.0,1.0,1.0,0.9,0.4,0.4,0.3,0.1,0.1,0.1,0.1,1.0,0.7,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7343829787234043,0.24255675474506885,0.19761976955730745,0.21779448621553885,0.5277814070792051,0.23935515230071294
4,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1233,0.33330645472245163,0.04932273319843427,0.169290089329786,0.12380539209118424,0.5415752630893318,25.545454545454547,0.8181818181818181,11,1.0,0.5561680844983342,0.14263130808585356,1.0,1.0,1.0,0.8181818181818182,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.18181818181818182,0.18181818181818182,1.0,0.5454545454545454,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7344539007092199,0.22101120193763246,0.16600970285021224,0.1896021817237349,0.5156582331519156,0.21678623002748407
5,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1234,0.3191836519338913,0.052482967562824924,0.1591176135033228,0.12672559902808156,0.5148912002446111,28.2,0.8,10,1.0,0.47661630544312167,0.21028397333660492,1.0,1.0,1.0,0.9,0.5,0.3,0.2,0.2,0.1,0.1,0.1,1.0,0.8,0.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7395744680851064,0.25158623341665065,0.19837780473013947,0.22183606001525813,0.5312664482574407,0.2476784839442391
6,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1235,0.3076321295817868,0.054818757568605464,0.16832855409006817,0.14163322257304478,0.5154630538277917,22.833333333333332,0.75,12,1.0,0.4865207316755227,0.12646185198816776,1.0,1.0,1.0,0.8333333333333334,0.5,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.6666666666666666,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7396312056737588,0.22526069376463076,0.16047604608853852,0.18742806551571492,0.5167128607632614,0.2200354609929078
7,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1236,0.32638273793745554,0.05554199356997119,0.0905677887601275,0.09510206737441254,0.54918363717164,29.6,0.8,10,1.0,0.49299979106840386,0.16405361305361305,1.0,1.0,1.0,1.0,0.6,0.4,0.2,0.1,0.1,0.1,0.1,1.0,0.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7366099290780141,0.2303680673954468,0.17412067919951485,0.1983335491948366,0.5201063366682296,0.22607220601176417
8,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1237,0.32103214397627616,0.053454310508358645,0.10579766218764727,0.062089222754130466,0.4663626857155647,23.09090909090909,0.7272727272727273,11,1.0,0.4860515581399581,0.2365598197655614,1.0,1.0,1.0,0.9090909090909091,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0.7272727272727273,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.748354609929078,0.26925027898955056,0.20118253486961796,0.2302919866371643,0.5377466384126829,0.263996161587792
9,CombSequentialDQN36351551/CombSequentialDQN36351551_3_1238,0.3340937416000394,0.05368358446190308,0.1745153470727961,0.20274241640330024,0.5080866396775383,22.75,0.75,12,1.0,0.5764481330270804,0.17172790172790173,1.0,1.0,1.0,0.9166666666666666,0.75,0.5833333333333334,0.3333333333333333,0.25,0.25,0.25,0.25,1.0,0.6666666666666666,0.4166666666666667,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.7347517730496453,0.23478428351309708,0.18480897513644634,0.20682049541907024,0.5230773430159791,0.23110808761208013
