,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,bcp
0,hyDec_jpetstore_1111_2809,0.4421174297471254,0.0444220969105664,0.7598290598290598,0.597698882314267,0.0175517804822364,0.4,1.0,5,1.0,3.6742937654637955
1,hyDec_jpetstore_1111_2035,0.4446884345328179,0.087474061459012,0.9200320512820512,0.7770833333333333,0.7182126223758389,0.65,1.0,40,1.0,1.649750150886668
2,hyDec_jpetstore_1111_4,0.4423523464620817,0.0742771101972231,0.8859180035650625,0.7502290057437117,0.6445967918584009,0.7352941176470589,1.0,34,1.0,1.7755546134982874
3,hyDec_jpetstore_1111_1482,0.4480699002481186,0.1023513677707176,0.9214106096984248,0.7879788278947943,0.630722310225601,0.7647058823529411,0.9705882352941176,34,1.0,1.6910363133981885
4,hyDec_jpetstore_1111_2207,0.4668088499956722,0.0502337728833213,0.7854486556527372,0.6472691933916424,0.0654499380260819,1.0,1.0,7,1.0,2.4515238016318692
5,hyDec_jpetstore_1111_4594,0.4417668547681892,0.0918249240329125,0.9070945945945946,0.757882882882883,0.7030197737578472,0.7027027027027027,1.0,37,1.0,1.7025111070537378
6,hyDec_jpetstore_1111_947,0.4436392639170779,0.0559427633509914,0.7243649116451314,0.6001691501416776,0.3259145388359485,1.5,0.75,12,1.0,2.324613748115413
7,hyDec_jpetstore_1111_2663,0.4317886979930833,0.0925818160777126,0.937984496124031,0.8028792912513842,0.7389663557829698,0.6046511627906976,1.0,43,1.0,1.649750150886668
8,hyDec_jpetstore_1111_2451,0.4317886979930833,0.0925818160777126,0.937984496124031,0.8028792912513842,0.7389663557829698,0.6046511627906976,1.0,43,1.0,1.649750150886668
9,hyDec_jpetstore_1111_3583,0.4350617819152972,0.0952233575510201,0.9297256097560976,0.786280487804878,0.7284191509964506,0.6341463414634146,1.0,41,1.0,1.6463602482237074
10,hyDec_jpetstore_1111_349,0.3751515606891917,0.0517955297527219,0.53014078921277,0.3178663493952011,0.0021939725602795,0.3333333333333333,1.0,3,1.0,4.5538768916005425
11,hyDec_jpetstore_1111_1012,0.4317886979930833,0.0925818160777126,0.937984496124031,0.8028792912513842,0.7389663557829698,0.6046511627906976,1.0,43,1.0,1.649750150886668
12,hyDec_jpetstore_1111_4560,0.4214117337474394,0.095183109974764,0.919911858974359,0.7826121794871794,0.728534263076007,0.65,1.0,40,1.0,1.685320131097607
13,hyDec_jpetstore_1111_2697,0.4966489408837779,0.0535711968429923,0.7477635624957053,0.6185287719885935,0.2605643843756494,1.6666666666666667,0.9166666666666666,12,1.0,2.1581000207716565
14,hyDec_jpetstore_1111_3745,0.4495468906275759,0.0543045433114012,0.7908262720292796,0.6464209465462598,0.4410758377694836,1.263157894736842,0.9473684210526316,19,1.0,1.650752214540786
15,hyDec_jpetstore_1111_3577,0.4880900852222634,0.0496465582963203,0.7458755561047948,0.6818720135112869,0.0886011506154404,1.375,1.0,8,1.0,2.3558808659541812
16,hyDec_jpetstore_1111_1220,0.4317886979930833,0.0925818160777126,0.937984496124031,0.8028792912513842,0.7389663557829698,0.6046511627906976,1.0,43,1.0,1.649750150886668
17,hyDec_jpetstore_1111_4752,0.4030964710363339,0.1214318833537676,0.8843260130139012,0.7215875480627034,0.4615331741035129,0.9583333333333334,0.9166666666666666,24,1.0,1.885003282422679
18,hyDec_jpetstore_1111_3113,0.4480699002481186,0.1023513677707176,0.9214106096984248,0.7879788278947943,0.630722310225601,0.7647058823529411,0.9705882352941176,34,1.0,1.6910363133981885
19,hyDec_jpetstore_1111_1644,0.4504231015916409,0.0802524599738208,0.91812865497076,0.7747788274104064,0.6984106094154938,0.6666666666666666,1.0,39,1.0,1.7135236822417828
20,hyDec_jpetstore_1111_4336,0.4584858330800051,0.0626028636390665,0.825060125060125,0.7629629629629631,0.4798846428678261,1.0909090909090908,0.8181818181818181,22,1.0,1.8272381606148604
21,hyDec_jpetstore_1111_1476,0.4751278803276348,0.0503968024350552,0.8495060018467221,0.693360457063712,0.340889805323642,1.3125,0.875,16,1.0,1.7399813187889195
22,hyDec_jpetstore_1111_4104,0.4317886979930833,0.0925818160777126,0.937984496124031,0.8028792912513842,0.7389663557829698,0.6046511627906976,1.0,43,1.0,1.649750150886668
23,hyDec_jpetstore_1111_3321,0.4317886979930833,0.0925818160777126,0.937984496124031,0.8028792912513842,0.7389663557829698,0.6046511627906976,1.0,43,1.0,1.649750150886668
24,hyDec_jpetstore_1111_376,0.4882522968261664,0.0543595546641294,0.7699861165770258,0.7586878525514889,0.5453639548221453,1.1428571428571428,0.9047619047619048,21,1.0,1.935824877534549
25,hyDec_jpetstore_1111_4799,0.473931830508756,0.0520749709660622,0.6973508230452676,0.6994341563786008,0.061363671863572,1.1666666666666667,1.0,6,1.0,3.464369989550338
26,hyDec_jpetstore_1111_144,0.4423523464620817,0.0742771101972231,0.8859180035650625,0.7502290057437117,0.6445967918584009,0.7352941176470589,1.0,34,1.0,1.7755546134982874
27,hyDec_jpetstore_1111_978,0.4840339763549011,0.0465366662982733,0.8166371004208842,0.5177223555601933,0.0647253812376514,1.0,1.0,7,1.0,2.5302940632918434
28,hyDec_jpetstore_1111_2238,0.4954966333099835,0.0502126602688009,0.7667202326293235,0.6143250688705234,0.1052726397581025,1.4444444444444444,1.0,9,1.0,2.146336103073169
29,hyDec_jpetstore_1111_520,0.4381039490211205,0.0961755648376469,0.928306342780027,0.7785087719298246,0.7049123903265931,0.6666666666666666,1.0,39,1.0,1.6517311321059054
30,hyDec_jpetstore_1111_712,0.4480699002481185,0.1023513677707176,0.9214106096984248,0.7879788278947943,0.630722310225601,0.7647058823529411,0.9705882352941176,34,1.0,1.6910363133981885
31,hyDec_jpetstore_1111_2836,0.453245441010122,0.0636926479575176,0.8454358974358974,0.7563692307692309,0.5470086431489468,0.9230769230769232,0.8846153846153846,26,1.0,1.7538955052751442
32,hyDec_jpetstore_1111_1449,0.3916153085456624,0.0453205014260688,0.6745833333333332,0.5821875000000001,0.0175517804822362,0.5,1.0,4,1.0,4.5538768916005425
33,hyDec_jpetstore_1111_4309,0.4709908605970062,0.0462840994387081,0.8072714681440443,0.6953831948291782,0.0380431551056919,0.8333333333333334,1.0,6,1.0,3.0467823333852153
34,hyDec_jpetstore_1111_3910,0.4480699002481185,0.1023513677707176,0.9214106096984248,0.7879788278947943,0.630722310225601,0.7647058823529411,0.9705882352941176,34,1.0,1.6910363133981885
35,hyDec_jpetstore_1111_382,0.4364184326595122,0.0955954774131801,0.9251602564102565,0.770673076923077,0.7227478142005168,0.65,1.0,40,1.0,1.6553280374341837
36,hyDec_jpetstore_1111_3548,0.4709908605970062,0.0462840994387081,0.8072714681440443,0.6953831948291782,0.0380431551056919,0.8333333333333334,1.0,6,1.0,3.0467823333852153
