,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,precision,recall,SRP@0,SRP@1,SRP@2,SRP@3,SRP@4,SRP@5,SRP@6,SRP@7,SRP@8,SRP@9,SRP@10,SRR@0,SRR@1,SRR@2,SRR@3,SRR@4,SRR@5,SRR@6,SRR@7,SRR@8,SRR@9,SRR@10,accuracy,precision,recall,f1_score,roc_auc,fbeta_score
0,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4364,0.3553218480830535,0.062314920411580356,0.24469188567367745,0.19810267626064093,0.30109953757358177,4.3,0.4,10,1.0,0.5658027756557168,0.45570482149429525,1.0,1.0,1.0,1.0,0.6,0.6,0.5,0.2,0.2,0.1,0.1,1.0,0.9,0.8,0.8,0.4,0.4,0.3,0.2,0.2,0.1,0.1,0.828989703989704,0.21286031042128603,0.3522935779816514,0.2653766413268832,0.6135476001352447,0.21793416572077184
1,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4365,0.40100165851794517,0.06215092626759992,0.2255659626962353,0.20675618712848648,0.3372623010012361,4.3,0.5,10,1.0,0.506712962962963,0.5092174492174493,1.0,1.0,0.9,0.9,0.6,0.5,0.4,0.1,0.1,0.1,0.1,1.0,1.0,1.0,0.8,0.5,0.5,0.3,0.2,0.2,0.1,0.1,0.8125804375804376,0.17436974789915966,0.30458715596330277,0.22177688710754842,0.5829936308823744,0.17886797236483484
2,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4366,0.36511963928375346,0.05868780018614185,0.32915617283950616,0.32645541838134434,0.2543359221717153,3.888888888888889,0.5555555555555556,9,1.0,0.6333333333333333,0.44801592170013216,1.0,1.0,0.8888888888888888,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,0.8888888888888888,0.6666666666666666,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7524131274131274,0.15438108484005564,0.4073394495412844,0.2239031770045386,0.5964575928715063,0.16023436504903835
3,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4367,0.3874434126091305,0.06262231072706273,0.41351639308227145,0.4136099477856235,0.22259597599493605,3.4,0.7,10,1.0,0.6525900900900901,0.4654970760233918,1.0,1.0,1.0,0.9,0.6,0.6,0.6,0.4,0.4,0.4,0.4,1.0,0.8,0.7,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.2,0.7615830115830116,0.18451178451178452,0.5027522935779817,0.26995073891625615,0.6446048542479927,0.1916478090927793
4,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4368,0.4070156663955432,0.05847035035517996,0.4691208040638833,0.22493562276832596,0.2706634781909591,4.0,0.6,10,1.0,0.7085024154589371,0.38638642059694694,1.0,1.0,0.9,0.9,0.9,0.6,0.6,0.5,0.5,0.5,0.5,1.0,0.9,0.8,0.7,0.4,0.3,0.2,0.1,0.0,0.0,0.0,0.7382561132561133,0.13197278911564625,0.3559633027522936,0.19255583126550868,0.565479447179356,0.1370455017660503
5,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4369,0.38698926659546723,0.0678963298172508,0.17445494930593475,0.16826537620626736,0.29432632520467406,5.222222222222222,0.33333333333333337,9,1.0,0.5144849858503613,0.5904140369052651,1.0,1.0,1.0,0.8888888888888888,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,1.0,1.0,0.8888888888888888,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.7961711711711712,0.19561551433389546,0.42568807339449544,0.268053148469093,0.6287318871645374,0.20203882997797246
6,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4370,0.3853632990782459,0.06746629327314056,0.31386422980578826,0.2405920089110024,0.29939692843545135,4.0,0.5,10,1.0,0.5806493506493506,0.5041217846481004,1.0,1.0,0.9,0.8,0.6,0.5,0.5,0.4,0.4,0.2,0.2,1.0,0.9,0.8,0.6,0.5,0.5,0.4,0.3,0.3,0.2,0.2,0.7693050193050193,0.1578137028483449,0.3761467889908257,0.22234273318872017,0.5916177429348415,0.16339256411458578
7,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4371,0.3763323685264778,0.06936917548972492,0.3239408542837059,0.3119822208312607,0.24550374950878248,3.6,0.5,10,1.0,0.6093489843489844,0.410822802928066,1.0,1.0,1.0,0.9,0.6,0.6,0.5,0.4,0.3,0.2,0.2,1.0,0.8,0.8,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.8080759330759331,0.19318181818181818,0.3743119266055046,0.25484072454715806,0.6120369366760551,0.19884180952927014
8,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4372,0.38178179887374536,0.06360737063967734,0.2218535759355121,0.2565066546018283,0.3174096588554175,4.888888888888889,0.6666666666666667,9,1.0,0.5592346499323244,0.4471921840342892,1.0,1.0,1.0,0.7777777777777778,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,1.0,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.7451737451737451,0.11829537105069801,0.29541284403669726,0.16894018887722978,0.5419049760652539,0.12261995430312259
9,CombSequentialDQN36351549/CombSequentialDQN36351549_8_4373,0.3884838297616967,0.06653033915420156,0.1471904961206136,0.11900710038413603,0.24688386862133796,5.857142857142857,0.2857142857142857,7,1.0,0.41974850546279113,0.47978279030910614,1.0,1.0,1.0,0.8571428571428571,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.0,0.7717181467181468,0.17388059701492536,0.42752293577981654,0.24721485411140584,0.6161596339981784,0.18016829656584035
