,exp_id,chm,chd,smq,cmq,icp,ifn,ned,msn,cov,bcp
0,41950939_petclinic-legacy_26_202311021143,0.390554111689926,0.0915147026212123,0.3812698412698413,0.3147355530753969,0.5895040890152523,3.625,0.5,8,1.0,1.5509417586300842
1,41950939_petclinic-legacy_17_202311021142,0.4296913673694884,0.0607033599888245,0.2857315066718163,0.2399736795838194,0.6921986530362716,3.3,0.4,10,1.0,2.164998286134991
2,41950939_petclinic-legacy_7_202311021143,0.4439667843276247,0.0654576094267919,0.5030018625534688,0.4791657814226226,0.3290670697569034,3.625,0.875,8,1.0,1.099458948478058
3,41950939_petclinic-legacy_21_202311021142,0.3882079014737988,0.0614949259464888,0.3345679091337196,0.2736917188078051,0.587665261603491,4.5,0.6666666666666667,6,1.0,1.5894603787906492
4,41950939_petclinic-legacy_12_202311021139,0.4306923920475104,0.0647786882339638,0.3521845080624842,0.4380826404635929,0.6167374922701762,3.2222222222222223,0.7777777777777778,9,1.0,1.5592983520306583
5,41950939_petclinic-legacy_42_202311021143,0.3792627197697065,0.0573120571130655,0.3016298619141281,0.25108578684573,0.5389178288117654,4.666666666666667,0.6666666666666667,6,1.0,1.606536975193524
6,41950939_petclinic-legacy_44_202311021145,0.412002908290201,0.0575357919181894,0.1918150431468883,0.1735278880070546,0.6724949200386725,4.25,0.125,8,1.0,2.0631481501689035
7,41950939_petclinic-legacy_27_202311021143,0.4145818817477402,0.0562938455497591,0.1816658057851239,0.1602427685950413,0.6447701370506381,5.333333333333333,0.3333333333333333,6,1.0,2.059780464958158
8,41950939_petclinic-legacy_30_202311021139,0.4297301331076896,0.063280849147354,0.4236359126984128,0.4781781462585034,0.6339208176981395,2.9,0.7,10,1.0,1.4569236712834255
9,41950939_petclinic-legacy_43_202311021144,0.4616731174750055,0.0618957311262371,0.4505582325522802,0.5230851599899219,0.4041071311785459,2.4444444444444446,1.0,9,1.0,1.2303576244600802
10,41950939_petclinic-legacy_6_202311021143,0.3807560538976118,0.0598821509088703,0.4471126685968505,0.4392632052821128,0.4906252043212955,3.25,0.875,8,1.0,1.784061238816493
11,41950939_petclinic-legacy_3_202311021141,0.4186807272787431,0.064243434827521,0.3417993965063562,0.3008552822838536,0.6186537459751603,3.111111111111111,0.4444444444444444,9,1.0,1.4259456186640502
12,41950939_petclinic-legacy_4_202311021141,0.3973001656027873,0.0835874231689142,0.2689728009259259,0.2626840828924162,0.6519862298610987,4.0,0.25,8,1.0,1.8944571591320247
13,41950939_petclinic-legacy_14_202311021141,0.448312519324425,0.0648847453000348,0.3665076530612245,0.4048112244897959,0.4301083713008584,4.2,0.8,5,1.0,1.7507663646966152
14,41950939_petclinic-legacy_41_202311021141,0.3960641619521978,0.0864082811096924,0.5402612433862434,0.4945160934744269,0.3644134312613624,3.625,0.875,8,1.0,1.1512925464970227
